image_name,cv_width,cv_height,cv_mean_L,cv_mean_a,cv_mean_b,cv_var_L,cv_var_a,cv_var_b
IMG_1357.jp2,3.8087,5.9871,85.5838,111.7136,152.3888,193.8677,4.9783,22.524
IMG_1358.jp2,3.8259,6.1748,84.93,110.9189,152.5759,198.7549,6.943,22.2813
IMG_1359.jp2,3.7244,6.292,95.0698,111.2479,156.3984,160.6163,7.9481,30.7906
IMG_1360.jp2,3.8014,6.1331,90.514,110.9204,151.4894,169.4334,7.3254,27.1106
IMG_1361.jp2,3.7037,5.971,97.909,112.0279,158.5808,164.2589,5.8851,32.654
IMG_1362.jp2,3.647,5.9422,97.5065,111.2453,158.0897,151.5579,7.2947,19.7727
IMG_1363.jp2,3.7464,5.8591,94.2663,112.3041,159.6945,136.4076,3.5155,19.2713
IMG_1364.jp2,3.3323,5.5117,81.0957,111.7182,152.8499,258.958,5.0659,19.8573
IMG_1365.jp2,3.8156,6.3359,82.6136,111.3916,151.2064,208.6124,5.119,17.8521
IMG_1366.jp2,3.7302,6.4713,82.6474,112.4933,154.494,166.7719,4.0541,20.2169
IMG_1367.jp2,3.8184,5.9804,91.6732,111.6127,155.3343,218.0411,4.7693,27.3892
IMG_1368.jp2,3.8308,6.1632,84.9533,111.3492,153.943,223.6428,3.4494,21.1355
IMG_1369.jp2,3.7136,5.8236,80.7593,111.6978,152.6292,242.0959,5.0024,19.514
IMG_1370.jp2,3.7974,6.0054,88.5321,111.5422,153.887,246.7058,5.3985,20.0809
IMG_1371.jp2,3.6838,5.7788,101.7077,112.1204,158.0853,199.6854,6.5343,22.2498
IMG_1372.jp2,3.6995,5.8797,93.9455,112.1727,157.0923,174.4022,5.0062,22.6458
IMG_1373.jp2,3.7968,5.7656,83.8061,111.7496,153.3192,237.102,7.7312,25.3926
IMG_1374.jp2,3.7777,5.7934,84.6533,110.963,152.761,191.3777,5.4374,25.3739
IMG_1375.jp2,3.896,6.0778,77.1133,112.9818,151.5151,198.4742,5.1389,14.6233
IMG_1376.jp2,3.557,5.9049,87.5468,113.046,154.3271,205.8419,6.3127,21.3071
IMG_1377.jp2,3.8817,6.1401,86.6025,112.7627,154.6055,199.9843,3.761,25.5483
IMG_1378.jp2,3.9008,6.1681,85.416,112.0102,153.612,193.6308,6.0054,21.1181
IMG_1379.jp2,4.1172,6.1546,82.5725,113.1388,152.1046,209.8724,3.6479,18.0137
IMG_1380.jp2,4.0787,6.0687,81.5516,113.4313,154.3489,183.0078,2.7795,17.9514
IMG_1381.jp2,3.9014,6.0282,85.0426,111.9667,153.6929,241.1923,7.9473,22.0809
IMG_1382.jp2,3.6564,5.6469,80.5026,112.0193,153.2235,236.8102,4.3096,15.0301
IMG_1383.jp2,3.6647,5.9904,86.5101,111.6961,155.3075,301.0713,5.5799,19.4076
IMG_1384.jp2,3.6059,5.775,86.923,111.8975,154.7351,133.9734,6.8294,17.8625
IMG_1385.jp2,3.9437,6.4598,83.8605,112.289,153.528,214.1535,5.3905,26.1817
IMG_1386.jp2,3.9316,6.3272,82.0353,112.1046,152.0809,207.8225,5.3173,22.5751
IMG_1387.jp2,3.8557,6.2285,83.6434,111.9157,152.4407,213.3745,5.0665,16.3248
IMG_1388.jp2,3.8962,6.0984,88.7693,113.5056,156.4981,150.724,6.174,19.1651
IMG_1419.jp2,3.7366,6.0086,100.4943,119.0679,160.4828,186.8945,2.9891,36.7168
IMG_1420.jp2,3.7464,6.1714,79.7358,113.6593,151.8845,196.5649,5.6254,25.3082
IMG_1421.jp2,3.582,5.7148,102.6786,119.7909,161.6602,194.4795,10.6228,30.1245
IMG_1422.jp2,3.8594,6.0823,90.3742,113.1363,156.0435,149.8289,5.8169,29.3092
IMG_1423.jp2,3.6845,5.955,86.7091,113.9669,155.3011,229.998,6.3162,38.633
